Mon Jul 08 22:28:59 2013,,
,,
pointer cache: no,,
random replacement sheme for pointer cache,,
method:start_gap,,
pcm size(line):16777216,,
addresses have been narrowed.,,
include extra wear-leveling write,,
frequency: 100,,
cell lifetime: 100000000,,
max depth: 0,,
access count: 217095578,,
total write count: 217095577,,
total write count(without remapping): 217095577,,
percent(without/with remapping): 1.0000,,
wear-out count: 1,,
exceeded write count: 0,,
average access delay: 50 ns,,
normal space : backup space = 16777216 : 0,,
backup space percent:0.00,,
wear-out percent: 0.0000,,
,,
count interval: 16384,,
footprint,,
0,24075,24075
16384,26357,50432
32768,21375,71807
49152,42930,114737
65536,28877,143614
81920,24225,167839
98304,25659,193498
114688,27380,220878
131072,31465,252343
147456,27391,279734
163840,26645,306379
180224,25275,331654
196608,24166,355820
212992,27400,383220
229376,24525,407745
245760,26790,434535
262144,26100,460635
278528,22575,483210
294912,25064,508274
311296,22125,530399
327680,25950,556349
344064,26325,582674
360448,25200,607874
376832,29878,637752
393216,25050,662802
409600,27375,690177
425984,24525,714702
442368,27300,742002
458752,24525,766527
475136,20700,787227
491520,23637,810864
507904,22875,833739
524288,24000,857739
540672,24000,881739
557056,22200,903939
573440,23400,927339
589824,28275,955614
606208,26925,982539
622592,28500,1011039
638976,24525,1035564
655360,25278,1060842
671744,27075,1087917
688128,26850,1114767
704512,27900,1142667
720896,22800,1165467
737280,23555,1189022
753664,22800,1211822
770048,23025,1234847
786432,26488,1261335
802816,23703,1285038
819200,31610,1316648
835584,56145877,57462525
851968,25500,57488025
868352,26799,57514824
884736,25141,57539965
901120,30632,57570597
917504,24450,57595047
933888,50465,57645512
950272,25200,57670712
966656,29343,57700055
983040,25656,57725711
999424,24383,57750094
1015808,33992,57784086
1032192,21075,57805161
1048576,22214,57827375
1064960,43210,57870585
1081344,23325,57893910
1097728,24257,57918167
1114112,24087,57942254
1130496,30908,57973162
1146880,27685,58000847
1163264,23925,58024772
1179648,24248,58049020
1196032,25050,58074070
1212416,27841,58101911
1228800,28066,58129977
1245184,24375,58154352
1261568,25746,58180098
1277952,21091,58201189
1294336,28105,58229294
1310720,26261,58255555
1327104,26400,58281955
1343488,24675,58306630
1359872,22500,58329130
1376256,29325,58358455
1392640,29027,58387482
1409024,23925,58411407
1425408,30750,58442157
1441792,23775,58465932
1458176,26400,58492332
1474560,24981,58517313
1490944,28350,58545663
1507328,21450,58567113
1523712,27825,58594938
1540096,23625,58618563
1556480,21825,58640388
1572864,21450,58661838
1589248,23700,58685538
1605632,24975,58710513
1622016,21750,58732263
1638400,28500,58760763
1654784,25875,58786638
1671168,25428,58812066
1687552,28200,58840266
1703936,28875,58869141
1720320,25350,58894491
1736704,25425,58919916
1753088,25500,58945416
1769472,21675,58967091
1785856,24000,58991091
1802240,27150,59018241
1818624,22581,59040822
1835008,24718,59065540
1851392,3748101,62813641
1867776,25231,62838872
1884160,20552,62859424
1900544,25291,62884715
1916928,28080,62912795
1933312,23850,62936645
1949696,25898,62962543
1966080,26775,62989318
1982464,26259,63015577
1998848,26475,63042052
2015232,286947,63328999
2031616,23041,63352040
2048000,21225,63373265
2064384,23784,63397049
2080768,19891,63416940
2097152,27000,63443940
2113536,23700,63467640
2129920,10491821,73959461
2146304,25200,73984661
2162688,26100,74010761
2179072,26325,74037086
2195456,24225,74061311
2211840,27375,74088686
2228224,22808,74111494
2244608,28425,74139919
2260992,26775,74166694
2277376,24675,74191369
2293760,23025,74214394
2310144,21825,74236219
2326528,21900,74258119
2342912,23925,74282044
2359296,19888,74301932
2375680,23625,74325557
2392064,23863,74349420
2408448,24091,74373511
2424832,26550,74400061
2441216,24771,74424832
2457600,124384,74549216
2473984,26564,74575780
2490368,25814,74601594
2506752,24238,74625832
2523136,29325,74655157
2539520,27320,74682477
2555904,24834,74707311
2572288,24314,74731625
2588672,24852,74756477
2605056,23250,74779727
2621440,22425,74802152
2637824,25074,74827226
2654208,25616,74852842
2670592,23192,74876034
2686976,25141,74901175
2703360,26250,74927425
2719744,26040,74953465
2736128,25508,74978973
2752512,25211,75004184
2768896,28891,75033075
2785280,26128,75059203
2801664,26100,75085303
2818048,49607,75134910
2834432,23729,75158639
2850816,24616,75183255
2867200,24333,75207588
2883584,23250,75230838
2899968,23025,75253863
2916352,24750,75278613
2932736,23475,75302088
2949120,27900,75329988
2965504,26475,75356463
2981888,27750,75384213
2998272,28739,75412952
3014656,24827,75437779
3031040,26550,75464329
3047424,28350,75492679
3063808,24825,75517504
3080192,22575,75540079
3096576,23625,75563704
3112960,22275,75585979
3129344,23250,75609229
3145728,23550,75632779
3162112,23850,75656629
3178496,24075,75680704
3194880,22950,75703654
3211264,27450,75731104
3227648,25500,75756604
3244032,23025,75779629
3260416,27375,75807004
3276800,27750,75834754
3293184,26175,75860929
3309568,26027,75886956
3325952,26025,75912981
3342336,24225,75937206
3358720,20400,75957606
3375104,23550,75981156
3391488,22575,76003731
3407872,21913,76025644
3424256,24691,76050335
3440640,23644,76073979
3457024,22350,76096329
3473408,96667,76192996
3489792,26864,76219860
3506176,26925,76246785
3522560,26884,76273669
3538944,28275,76301944
3555328,27988,76329932
3571712,38069,76368001
3588096,25529,76393530
3604480,24559,76418089
3620864,25125,76443214
3637248,40354,76483568
3653632,24687,76508255
3670016,22807,76531062
3686400,24928,76555990
3702784,23325,76579315
3719168,23264,76602579
3735552,25362,76627941
3751936,24909,76652850
3768320,25366,76678216
3784704,27975,76706191
3801088,25467,76731658
3817472,25500,76757158
3833856,25526,76782684
3850240,29716,76812400
3866624,23550,76835950
3883008,23717,76859667
3899392,69222,76928889
3915776,23052,76951941
3932160,23025,76974966
3948544,24825,76999791
3964928,21225,77021016
3981312,23100,77044116
3997696,29775,77073891
4014080,25200,77099091
4030464,25125,77124216
4046848,24675,77148891
4063232,28650,77177541
4079616,23175,77200716
4096000,28125,77228841
4112384,27225,77256066
4128768,21375,77277441
4145152,25350,77302791
4161536,22125,77324916
4177920,24675,77349591
4194304,24000,77373591
4210688,24693,77398284
4227072,22516,77420800
4243456,27918,77448718
4259840,26721,77475439
4276224,26775,77502214
4292608,27456,77529670
4308992,163762,77693432
4325376,26185,77719617
4341760,27163,77746780
4358144,30390,77777170
4374528,24825,77801995
4390912,25437,77827432
4407296,31142,77858574
4423680,22650,77881224
4440064,27021,77908245
4456448,21375,77929620
4472832,24300,77953920
4489216,24300,77978220
4505600,20325,77998545
4521984,24975,78023520
4538368,29400,78052920
4554752,26550,78079470
4571136,25875,78105345
4587520,24675,78130020
4603904,26030,78156050
4620288,23550,78179600
4636672,26700,78206300
4653056,24075,78230375
4669440,24450,78254825
4685824,24000,78278825
4702208,22125,78300950
4718592,21825,78322775
4734976,22875,78345650
4751360,22050,78367700
4767744,24075,78391775
4784128,28725,78420500
4800512,26175,78446675
4816896,27225,78473900
4833280,26925,78500825
4849664,26475,78527300
4866048,25800,78553100
4882432,27525,78580625
4898816,27675,78608300
4915200,22650,78630950
4931584,24600,78655550
4947968,21975,78677525
4964352,24450,78701975
4980736,25672,78727647
4997120,22050,78749697
5013504,25447,78775144
5029888,23936,78799080
5046272,25500,78824580
5062656,28441,78853021
5079040,26328,78879349
5095424,26412,78905761
5111808,27391,78933152
5128192,30164,78963316
5144576,24975,78988291
5160960,25291,79013582
5177344,27930,79041512
5193728,24566,79066078
5210112,24688,79090766
5226496,21675,79112441
5242880,22147,79134588
5259264,23034,79157622
5275648,23025,79180647
5292032,24612,79205259
5308416,26411,79231670
5324800,194912,79426582
5341184,25750,79452332
5357568,25050,79477382
5373952,27755,79505137
5390336,28425,79533562
5406720,27764,79561326
5423104,46543,79607869
5439488,20925,79628794
5455872,24407,79653201
5472256,23410,79676611
5488640,26559,79703170
5505024,25275,79728445
5521408,22125,79750570
5537792,24000,79774570
5554176,26325,79800895
5570560,22950,79823845
5586944,27300,79851145
5603328,27825,79878970
5619712,28200,79907170
5636096,25125,79932295
5652480,28650,79960945
5668864,24150,79985095
5685248,48313,80033408
5701632,23550,80056958
5718016,23250,80080208
5734400,21750,80101958
5750784,22725,80124683
5767168,26850,80151533
5783552,22050,80173583
5799936,20475,80194058
5816320,26775,80220833
5832704,27150,80247983
5849088,28500,80276483
5865472,28050,80304533
5881856,25200,80329733
5898240,27375,80357108
5914624,24825,80381933
5931008,29100,80411033
5947392,27309,80438342
5963776,24150,80462492
5980160,20925,80483417
5996544,23100,80506517
6012928,24450,80530967
6029312,25744,80556711
6045696,24544,80581255
6062080,21840,80603095
6078464,21825,80624920
6094848,25812,80650732
6111232,25965,80676697
6127616,23250,80699947
6144000,28216,80728163
6160384,23625,80751788
6176768,26119,80777907
6193152,28066,80805973
6209536,25889,80831862
6225920,24846,80856708
6242304,23263,80879971
6258688,28526,80908497
6275072,66073,80974570
6291456,23850,80998420
6307840,21375,81019795
6324224,24750,81044545
6340608,24528,81069073
6356992,26250,81095323
6373376,27150,81122473
6389760,26400,81148873
6406144,26550,81175423
6422528,27300,81202723
6438912,26775,81229498
6455296,24450,81253948
6471680,26700,81280648
6488064,24750,81305398
6504448,22650,81328048
6520832,23775,81351823
6537216,22950,81374773
6553600,25307,81400080
6569984,21450,81421530
6586368,29794,81451324
6602752,23937,81475261
6619136,26175,81501436
6635520,26496,81527932
6651904,23937,81551869
6668288,27314,81579183
6684672,33208,81612391
6701056,25066,81637457
6717440,25950,81663407
6733824,26818,81690225
6750208,24920,81715145
6766592,23566,81738711
6782976,24692,81763403
6799360,23175,81786578
6815744,22425,81809003
6832128,22221,81831224
6848512,100023341,181854565
6864896,24845,181879410
6881280,24475,181903885
6897664,26925,181930810
6914048,25509,181956319
6930432,27841,181984160
6946816,227663,182211823
6963200,27450,182239273
6979584,27301,182266574
6995968,25425,182291999
7012352,26430,182318429
7028736,24239,182342668
7045120,22425,182365093
7061504,23412,182388505
7077888,23700,182412205
7094272,24525,182436730
7110656,20925,182457655
7127040,25275,182482930
7143424,29625,182512555
7159808,25500,182538055
7176192,25650,182563705
7192576,26025,182589730
7208960,27300,182617030
7225344,24087,182641117
7241728,37875,182678992
7258112,27075,182706067
7274496,23403,182729470
7290880,24375,182753845
7307264,22800,182776645
7323648,24675,182801320
7340032,24375,182825695
7356416,23483,182849178
7372800,24525,182873703
7389184,20625,182894328
7405568,23250,182917578
7421952,26025,182943603
7438336,26550,182970153
7454720,24375,182994528
7471104,23025,183017553
7487488,25650,183043203
7503872,25050,183068253
7520256,25808,183094061
7536640,24150,183118211
7553024,24158,183142369
7569408,23475,183165844
7585792,21600,183187444
7602176,56463,183243907
7618560,21825,183265732
7634944,24932,183290664
7651328,24600,183315264
7667712,27466,183342730
7684096,25663,183368393
7700480,26100,183394493
7716864,24530,183419023
7733248,26250,183445273
7749632,24629,183469902
7766016,30316,183500218
7782400,26794,183527012
7798784,24244,183551256
7815168,23550,183574806
7831552,23117,183597923
7847936,24991,183622914
7864320,408452,184031366
7880704,25778,184057144
7897088,25884,184083028
7913472,24693,184107721
7929856,25982,184133703
7946240,29491,184163194
7962624,27270,184190464
7979008,23400,184213864
7995392,24466,184238330
8011776,28875,184267205
8028160,32582,184299787
8044544,25950,184325737
8060928,23100,184348837
8077312,23567,184372404
8093696,23030,184395434
8110080,24611,184420045
8126464,25425,184445470
8142848,22350,184467820
8159232,23925,184491745
8175616,27825,184519570
8192000,28200,184547770
8208384,24600,184572370
8224768,28050,184600420
8241152,25500,184625920
8257536,27150,184653070
8273920,28575,184681645
8290304,27300,184708945
8306688,25824,184734769
8323072,25275,184760044
8339456,22950,184782994
8355840,26650,184809644
8372224,24450,184834094
8388608,28130,184862224
8404992,26944,184889168
8421376,24525,184913693
8437760,32466,184946159
8454144,31832,184977991
8470528,26025,185004016
8486912,23491,185027507
8503296,21300,185048807
8519680,24614,185073421
8536064,22950,185096371
8552448,28381,185124752
8568832,22816,185147568
8585216,27151,185174719
8601600,27628,185202347
8617984,135138,185337485
8634368,28993,185366478
8650752,30842,185397320
8667136,24300,185421620
8683520,26850,185448470
8699904,22950,185471420
8716288,24225,185495645
8732672,24627,185520272
8749056,21075,185541347
8765440,22200,185563547
8781824,24300,185587847
8798208,21975,185609822
8814592,21675,185631497
8830976,23775,185655272
8847360,30150,185685422
8863744,27300,185712722
8880128,26325,185739047
8896512,26250,185765297
8912896,24375,185789672
8929280,26025,185815697
8945664,27525,185843222
8962048,25137,185868359
8978432,23475,185891834
8994816,21828,185913662
9011200,24975,185938637
9027584,24525,185963162
9043968,23325,185986487
9060352,22125,186008612
9076736,25814,186034426
9093120,23550,186057976
9109504,22350,186080326
9125888,29925,186110251
9142272,27450,186137701
9158656,25655,186163356
9175040,28594,186191950
9191424,25591,186217541
9207808,26272,186243813
9224192,27600,186271413
9240576,23791,186295204
9256960,24541,186319745
9273344,22200,186341945
9289728,22816,186364761
9306112,21975,186386736
9322496,22506,186409242
9338880,23260,186432502
9355264,24833,186457335
9371648,29277,186486612
9388032,26712,186513324
9404416,103998,186617322
9420800,24300,186641622
9437184,25575,186667197
9453568,27611,186694808
9469952,27018,186721826
9486336,27757,186749583
9502720,25427,186775010
9519104,22500,186797510
9535488,66425,186863935
9551872,23400,186887335
9568256,26252,186913587
9584640,21391,186934978
9601024,24545,186959523
9617408,20550,186980073
9633792,7856627,194836700
9650176,27019,194863719
9666560,26925,194890644
9682944,27786,194918430
9699328,28200,194946630
9715712,21600,194968230
9732096,25725,194993955
9748480,26100,195020055
9764864,26250,195046305
9781248,22275,195068580
9797632,24900,195093480
9814016,25134,195118614
9830400,20175,195138789
9846784,24675,195163464
9863168,24375,195187839
9879552,24450,195212289
9895936,28125,195240414
9912320,26325,195266739
9928704,26700,195293439
9945088,24825,195318264
9961472,26850,195345114
9977856,31350,195376464
9994240,25500,195401964
10010624,27675,195429639
10027008,24000,195453639
10043392,22800,195476439
10059776,24525,195500964
10076160,23025,195523989
10092544,25829,195549818
10108928,26325,195576143
10125312,23925,195600068
10141696,21675,195621743
10158080,26850,195648593
10174464,27827,195676420
10190848,28577,195704997
10207232,31650,195736647
10223616,24779,195761426
10240000,26625,195788051
10256384,28837,195816888
10272768,31216,195848104
10289152,23250,195871354
10305536,25144,195896498
10321920,29671,195926169
10338304,34738,195960907
10354688,21527,195982434
10371072,24306,196006740
10387456,20475,196027215
10403840,26492,196053707
10420224,42408,196096115
10436608,26028,196122143
10452992,28156,196150299
10469376,27525,196177824
10485760,27150,196204974
10502144,27825,196232799
10518528,26325,196259124
10534912,25875,196284999
10551296,22950,196307949
10567680,24773,196332722
10584064,23025,196355747
10600448,25350,196381097
10616832,22500,196403597
10633216,22950,196426547
10649600,20775,196447322
10665984,27375,196474697
10682368,27900,196502597
10698752,26625,196529222
10715136,28500,196557722
10731520,24450,196582172
10747904,24913,196607085
10764288,52306,196659391
10780672,26430,196685821
10797056,26475,196712296
10813440,22816,196735112
10829824,24011,196759123
10846208,23925,196783048
10862592,24770,196807818
10878976,26025,196833843
10895360,22216,196856059
10911744,25362,196881421
10928128,22284,196903705
10944512,27536,196931241
10960896,27600,196958841
10977280,23422,196982263
10993664,30085,197012348
11010048,27836,197040184
11026432,23943,197064127
11042816,26475,197090602
11059200,26805,197117407
11075584,22881,197140288
11091968,29942,197170230
11108352,24092,197194322
11124736,26175,197220497
11141120,24625,197245122
11157504,20925,197266047
11173888,23638,197289685
11190272,132774,197422459
11206656,28800,197451259
11223040,25222,197476481
11239424,25741,197502222
11255808,24239,197526461
11272192,25505,197551966
11288576,26400,197578366
11304960,26325,197604691
11321344,28500,197633191
11337728,24150,197657341
11354112,25050,197682391
11370496,22575,197704966
11386880,23025,197727991
11403264,27150,197755141
11419648,23400,197778541
11436032,23025,197801566
11452416,22350,197823916
11468800,24000,197847916
11485184,26775,197874691
11501568,28350,197903041
11517952,27450,197930491
11534336,26325,197956816
11550720,26625,197983441
11567104,26475,198009916
11583488,26100,198036016
11599872,21000,198057016
11616256,24375,198081391
11632640,23700,198105091
11649024,22801,198127892
11665408,23550,198151442
11681792,25275,198176717
11698176,22125,198198842
11714560,22875,198221717
11730944,27675,198249392
11747328,25358,198274750
11763712,29550,198304300
11780096,27675,198331975
11796480,25910,198357885
11812864,24825,198382710
11829248,26202,198408912
11845632,74050,198482962
11862016,23550,198506512
11878400,25817,198532329
11894784,24391,198556720
11911168,22588,198579308
11927552,23861,198603169
11943936,25057,198628226
11960320,25350,198653576
11976704,21766,198675342
11993088,24021,198699363
12009472,27319,198726682
12025856,28886,198755568
12042240,26700,198782268
12058624,28800,198811068
12075008,29589,198840657
12091392,27387,198868044
12107776,30753,198898797
12124160,21531,198920328
12140544,24450,198944778
12156928,24765,198969543
12173312,25288,198994831
12189696,25739,199020570
12206080,146337,199166907
12222464,24393,199191300
12238848,21825,199213125
12255232,33016,199246141
12271616,24388,199270529
12288000,27450,199297979
12304384,24245,199322224
12320768,28425,199350649
12337152,24450,199375099
12353536,23925,199399024
12369920,26550,199425574
12386304,24600,199450174
12402688,21150,199471324
12419072,24825,199496149
12435456,21676,199517825
12451840,23250,199541075
12468224,24750,199565825
12484608,25575,199591400
12500992,21900,199613300
12517376,24975,199638275
12533760,26925,199665200
12550144,24975,199690175
12566528,25800,199715975
12582912,39372,199755347
12599296,30920,199786267
12615680,24000,199810267
12632064,25381,199835648
12648448,25526,199861174
12664832,26266,199887440
12681216,24541,199911981
12697600,24525,199936506
12713984,28666,199965172
12730368,22125,199987297
12746752,22358,200009655
12763136,24762,200034417
12779520,24900,200059317
12795904,26643,200085960
12812288,24985,200110945
12828672,25443,200136388
12845056,26400,200162788
12861440,23850,200186638
12877824,24900,200211538
12894208,25950,200237488
12910592,22729,200260217
12926976,23700,200283917
12943360,22275,200306192
12959744,22500,200328692
12976128,21225,200349917
12992512,24000,200373917
13008896,22650,200396567
13025280,24750,200421317
13041664,28875,200450192
13058048,24225,200474417
13074432,25725,200500142
13090816,26025,200526167
13107200,26475,200552642
13123584,23400,200576042
13139968,24375,200600417
13156352,29700,200630117
13172736,26782,200656899
13189120,24000,200680899
13205504,24675,200705574
13221888,22050,200727624
13238272,23325,200750949
13254656,23475,200774424
13271040,23700,200798124
13287424,26100,200824224
13303808,26025,200850249
13320192,24225,200874474
13336576,22875,200897349
13352960,26625,200923974
13369344,35591,200959565
13385728,25887,200985452
13402112,28456,201013908
13418496,27900,201041808
13434880,23409,201065217
13451264,24923,201090140
13467648,21750,201111890
13484032,26193,201138083
13500416,24525,201162608
13516800,22597,201185205
13533184,58539,201243744
13549568,23038,201266782
13565952,25967,201292749
13582336,25425,201318174
13598720,27093,201345267
13615104,25066,201370333
13631488,27391,201397724
13647872,27041,201424765
13664256,62225,201486990
13680640,27619,201514609
13697024,24619,201539228
13713408,23625,201562853
13729792,23938,201586791
13746176,22966,201609757
13762560,27159,201636916
13778944,22663,201659579
13795328,25820,201685399
13811712,22800,201708199
13828096,28960,201737159
13844480,27317,201764476
13860864,24075,201788551
13877248,27175,201815726
13893632,24525,201840251
13910016,28200,201868451
13926400,30825,201899276
13942784,24600,201923876
13959168,24750,201948626
13975552,25650,201974276
13991936,10491896,212466172
14008320,21975,212488147
14024704,23100,212511247
14041088,23191,212534438
14057472,23475,212557913
14073856,26625,212584538
14090240,25800,212610338
14106624,25950,212636288
14123008,30450,212666738
14139392,25050,212691788
14155776,24825,212716613
14172160,29775,212746388
14188544,28725,212775113
14204928,24825,212799938
14221312,24075,212824013
14237696,21075,212845088
14254080,25439,212870527
14270464,24375,212894902
14286848,26475,212921377
14303232,25050,212946427
14319616,24375,212970802
14336000,22650,212993452
14352384,24150,213017602
14368768,29550,213047152
14385152,23400,213070552
14401536,25875,213096427
14417920,27699,213124126
14434304,28350,213152476
14450688,30112,213182588
14467072,26491,213209079
14483456,21825,213230904
14499840,25583,213256487
14516224,24167,213280654
14532608,26265,213306919
14548992,38958,213345877
14565376,25361,213371238
14581760,21150,213392388
14598144,24637,213417025
14614528,25965,213442990
14630912,25668,213468658
14647296,27846,213496504
14663680,24375,213520879
14680064,26775,213547654
14696448,25822,213573476
14712832,28050,213601526
14729216,24525,213626051
14745600,22877,213648928
14761984,25425,213674353
14778368,25275,213699628
14794752,21375,213721003
14811136,24309,213745312
14827520,25500,213770812
14843904,22725,213793537
14860288,26325,213819862
14876672,26175,213846037
14893056,22650,213868687
14909440,27000,213895687
14925824,24600,213920287
14942208,25147,213945434
14958592,28061,213973495
14974976,25893,213999388
14991360,30150,214029538
15007744,22950,214052488
15024128,232171,214284659
15040512,22650,214307309
15056896,22727,214330036
15073280,22500,214352536
15089664,19968,214372504
15106048,25591,214398095
15122432,23942,214422037
15138816,25839,214447876
15155200,26775,214474651
15171584,30338,214504989
15187968,38866,214543855
15204352,27916,214571771
15220736,29379,214601150
15237120,29700,214630850
15253504,25448,214656298
15269888,22206,214678504
15286272,23116,214701620
15302656,23641,214725261
15319040,23325,214748586
15335424,22957,214771543
15351808,23775,214795318
15368192,24768,214820086
15384576,23795,214843881
15400960,27675,214871556
15417344,27482,214899038
15433728,26782,214925820
15450112,81909,215007729
15466496,26475,215034204
15482880,28575,215062779
15499264,25056,215087835
15515648,27300,215115135
15532032,23775,215138910
15548416,21225,215160135
15564800,23775,215183910
15581184,23025,215206935
15597568,24300,215231235
15613952,22875,215254110
15630336,24375,215278485
15646720,25599,215304084
15663104,25500,215329584
15679488,27375,215356959
15695872,23940,215380899
15712256,29325,215410224
15728640,26250,215436474
15745024,25425,215461899
15761408,26175,215488074
15777792,25134,215513208
15794176,22650,215535858
15810560,22200,215558058
15826944,23700,215581758
15843328,24825,215606583
15859712,22650,215629233
15876096,20325,215649558
15892480,22200,215671758
15908864,25575,215697333
15925248,25950,215723283
15941632,26775,215750058
15958016,29100,215779158
15974400,26850,215806008
15990784,25518,215831526
16007168,30825,215862351
16023552,27917,215890268
16039936,25502,215915770
16056320,24000,215939770
16072704,23422,215963192
16089088,23400,215986592
16105472,57150,216043742
16121856,25591,216069333
16138240,26132,216095465
16154624,21750,216117215
16171008,22742,216139957
16187392,30111,216170068
16203776,71333,216241401
16220160,23948,216265349
16236544,24902,216290251
16252928,27450,216317701
16269312,25909,216343610
16285696,28366,216371976
16302080,26200,216398176
16318464,25373,216423549
16334848,22350,216445899
16351232,25237,216471136
16367616,24766,216495902
16384000,24909,216520811
16400384,21076,216541887
16416768,21752,216563639
16433152,25800,216589439
16449536,26550,216615989
16465920,29087,216645076
16482304,28050,216673126
16498688,24774,216697900
16515072,27454,216725354
16531456,25875,216751229
16547840,27675,216778904
16564224,26775,216805679
16580608,24150,216829829
16596992,21975,216851804
16613376,20625,216872429
16629760,22575,216895004
16646144,24825,216919829
16662528,22887,216942716
16678912,22875,216965591
16695296,21225,216986816
16711680,26861,217013677
16728064,28500,217042177
16744448,24225,217066402
16760832,29175,217095577
var: 13093898379516.1816,,
stdev: 3618549.2092,,
avr: 212007.3994,,
cov: 17.0680,,
